region,care_places_per_1000_inhabitants,population_density_per_sq_km,land_area_sq_km,0_years_men,0_years_women,100+_years_men,100+_years_women,10_years_men,10_years_women,11_years_men,11_years_women,12_years_men,12_years_women,13_years_men,13_years_women,14_years_men,14_years_women,15_years_men,15_years_women,16_years_men,16_years_women,17_years_men,17_years_women,18_years_men,18_years_women,19_years_men,19_years_women,1_year_men,1_year_women,20_years_men,20_years_women,21_years_men,21_years_women,22_years_men,22_years_women,23_years_men,23_years_women,24_years_men,24_years_women,25_years_men,25_years_women,26_years_men,26_years_women,27_years_men,27_years_women,28_years_men,28_years_women,29_years_men,29_years_women,2_years_men,2_years_women,30_years_men,30_years_women,31_years_men,31_years_women,32_years_men,32_years_women,33_years_men,33_years_women,34_years_men,34_years_women,35_years_men,35_years_women,36_years_men,36_years_women,37_years_men,37_years_women,38_years_men,38_years_women,39_years_men,39_years_women,3_years_men,3_years_women,40_years_men,40_years_women,41_years_men,41_years_women,42_years_men,42_years_women,43_years_men,43_years_women,44_years_men,44_years_women,45_years_men,45_years_women,46_years_men,46_years_women,47_years_men,47_years_women,48_years_men,48_years_women,49_years_men,49_years_women,4_years_men,4_years_women,50_years_men,50_years_women,51_years_men,51_years_women,52_years_men,52_years_women,53_years_men,53_years_women,54_years_men,54_years_women,55_years_men,55_years_women,56_years_men,56_years_women,57_years_men,57_years_women,58_years_men,58_years_women,59_years_men,59_years_women,5_years_men,5_years_women,60_years_men,60_years_women,61_years_men,61_years_women,62_years_men,62_years_women,63_years_men,63_years_women,64_years_men,64_years_women,65_years_men,65_years_women,66_years_men,66_years_women,67_years_men,67_years_women,68_years_men,68_years_women,69_years_men,69_years_women,6_years_men,6_years_women,70_years_men,70_years_women,71_years_men,71_years_women,72_years_men,72_years_women,73_years_men,73_years_women,74_years_men,74_years_women,75_years_men,75_years_women,76_years_men,76_years_women,77_years_men,77_years_women,78_years_men,78_years_women,79_years_men,79_years_women,7_years_men,7_years_women,80_years_men,80_years_women,81_years_men,81_years_women,82_years_men,82_years_women,83_years_men,83_years_women,84_years_men,84_years_women,85_years_men,85_years_women,86_years_men,86_years_women,87_years_men,87_years_women,88_years_men,88_years_women,89_years_men,89_years_women,8_years_men,8_years_women,90_years_men,90_years_women,91_years_men,91_years_women,92_years_men,92_years_women,93_years_men,93_years_women,94_years_men,94_years_women,95_years_men,95_years_women,96_years_men,96_years_women,97_years_men,97_years_women,98_years_men,98_years_women,99_years_men,99_years_women,9_years_men,9_years_women
01_Stockholm_county,2.051811252,364.9,6513.83,7307.5,6929.5,109.5,559.0,15208.5,14363.0,15281.0,14288.0,14928.0,13924.0,14655.0,13833.5,14019.0,13446.5,14080.5,13285.5,13689.0,12858.5,13268.0,12591.5,12820.0,12009.0,13069.0,11777.5,14844.0,14071.5,13424.5,11290.5,12246.5,11308.5,12131.0,11490.0,12728.5,12558.5,14409.0,13814.0,16114.5,15767.5,17039.0,17012.5,18264.0,18304.0,19167.5,18974.0,19819.5,20168.0,14775.0,14459.5,19781.0,19481.5,19585.0,19417.0,18937.0,18557.5,19038.0,18387.0,18664.5,17831.0,18412.5,17473.5,17899.0,17043.5,18113.0,16946.5,17818.0,16768.0,18341.5,17298.5,15371.0,14712.5,17267.0,16399.0,16493.5,15828.0,16379.5,15689.5,16659.5,15947.0,16877.5,16163.5,17480.5,16961.5,17149.0,16703.0,17392.0,16589.0,16816.5,16452.5,16003.0,15670.5,15492.5,14300.5,15312.0,15034.5,15489.5,15520.0,16024.0,15606.0,16255.0,15934.5,16150.0,15865.0,16264.0,15865.5,14753.5,14531.5,13973.5,13889.0,13274.0,12994.0,12700.0,12630.0,15518.0,14612.5,12379.5,12157.5,12080.0,12113.5,12079.5,11896.5,11764.0,11547.5,10949.5,11146.0,10537.0,10668.0,10288.0,10674.0,10127.5,10485.5,9427.0,10307.0,9841.0,10473.0,15507.5,14353.5,9596.5,10758.5,9829.0,11166.5,10072.0,11358.0,9893.0,11221.0,9855.0,11037.5,9507.5,10750.5,8659.0,9709.5,7545.0,8737.0,6358.0,7540.5,5763.0,6580.5,15138.0,14324.0,5283.5,6412.0,4767.5,6053.5,4097.0,5425.0,3723.0,5070.0,3311.5,4435.5,2747.0,4055.5,2483.5,3703.5,2183.0,3621.5,1949.5,3347.5,1604.0,3044.0,15204.5,14229.5,1300.0,2626.0,1118.0,2363.0,910.0,1980.5,712.5,1742.5,600.5,1490.0,429.5,1190.0,327.5,936.5,191.0,651.5,139.5,550.5,94.5,385.0,15807.0,14834.0
03_Uppsala_county,2.1454534830000003,46.9,8189.28,1142.0,1020.0,16.0,79.5,2289.5,2217.0,2385.5,2259.0,2300.5,2136.0,2250.0,2148.5,2161.0,2107.0,2236.0,2082.0,2125.5,2057.5,2199.5,1958.0,2130.0,1911.5,2262.5,1901.5,2262.0,2117.0,2474.0,2146.5,2474.5,2461.5,2476.5,2644.0,2669.5,2916.0,3019.5,3034.0,3186.0,3224.0,3149.0,3076.5,3280.5,3197.0,3233.5,3189.5,3301.0,2970.0,2273.5,2152.5,2961.5,2854.0,2933.0,2692.0,2781.0,2625.5,2749.5,2708.5,2758.0,2531.0,2580.5,2318.0,2419.5,2353.5,2421.0,2290.0,2257.5,2201.0,2415.5,2307.5,2374.5,2272.5,2303.0,2253.0,2211.5,2193.0,2316.5,2184.5,2290.0,2220.5,2398.5,2380.0,2488.5,2393.5,2378.5,2345.0,2417.0,2383.0,2453.5,2376.0,2236.5,2192.5,2374.5,2392.0,2276.0,2235.0,2361.0,2266.0,2343.0,2429.0,2434.0,2445.5,2397.5,2387.5,2439.0,2373.5,2309.5,2229.0,2142.5,2070.5,1969.0,2114.0,1968.0,1987.0,2348.5,2266.5,1966.5,2029.0,2020.5,2048.0,1980.5,2022.5,2058.0,2093.5,1908.0,1968.0,1966.0,1901.0,1878.5,1953.0,1843.0,1970.0,1782.0,1903.5,1895.0,1989.0,2297.0,2184.5,1962.0,2104.0,2041.0,2166.0,2018.0,2076.5,1966.5,2023.0,1897.5,2045.5,1872.0,1921.0,1618.5,1734.0,1468.5,1552.0,1182.5,1233.0,1072.5,1188.0,2472.0,2276.5,1073.0,1124.5,929.5,1074.0,841.5,968.0,685.5,922.5,621.0,817.0,575.5,784.0,473.0,760.5,439.0,643.0,401.5,592.0,345.5,529.5,2262.5,2250.0,288.5,456.0,222.0,428.0,186.0,335.0,155.5,291.5,107.5,272.0,66.0,214.5,44.5,153.0,40.5,120.5,37.5,93.5,15.0,46.5,2452.5,2266.5
04_Södermanland_county,2.3061131,49.0,6071.83,810.0,798.5,20.5,59.5,1883.0,1727.5,1882.5,1702.0,1871.5,1827.0,1874.0,1834.0,1832.5,1760.5,1915.0,1645.5,1837.5,1736.5,1818.0,1662.5,1758.0,1682.0,1828.5,1598.5,1791.0,1568.0,1799.0,1505.0,1625.5,1414.5,1525.5,1351.0,1567.5,1375.0,1641.0,1529.0,1693.5,1541.5,1776.5,1748.0,1870.0,1731.0,1992.5,1783.0,1979.0,1870.5,1788.0,1787.0,1931.0,1808.5,1859.0,1803.0,1705.0,1673.0,1774.0,1706.0,1748.0,1663.0,1784.5,1663.5,1609.5,1682.0,1629.0,1631.0,1655.0,1656.0,1695.5,1735.0,1903.0,1784.5,1707.0,1561.5,1701.0,1669.5,1724.0,1614.5,1674.0,1606.5,1781.0,1766.5,1850.0,1932.5,1819.5,1773.5,1916.5,1879.0,1857.5,1884.0,1838.5,1886.0,1793.5,1774.5,1793.0,1828.0,1994.5,1855.5,2129.5,1958.0,2051.5,1981.5,2058.0,1964.0,2038.5,2006.5,1816.5,1801.0,1875.5,1778.0,1764.0,1665.0,1741.5,1715.5,1918.5,1751.5,1753.5,1718.5,1697.5,1751.5,1718.0,1697.5,1746.5,1731.5,1694.5,1754.5,1614.0,1639.5,1681.0,1747.5,1701.0,1751.0,1659.5,1767.0,1747.5,1807.0,1888.5,1714.0,1852.5,1898.5,1844.0,1950.0,1852.0,1967.0,1876.0,1914.5,1799.0,1914.5,1813.0,1891.0,1586.5,1663.5,1429.5,1453.5,1154.5,1263.0,1107.0,1159.5,1875.5,1754.5,1040.0,1165.5,965.0,1074.5,771.0,859.5,793.5,919.5,577.5,787.5,549.0,755.0,515.0,695.0,438.5,597.5,355.5,595.5,319.5,574.0,1847.0,1705.5,254.0,450.5,197.0,412.5,149.5,372.0,124.0,266.5,104.0,235.5,75.5,194.5,56.5,141.0,31.0,80.5,19.5,77.0,10.5,63.0,1915.0,1775.0
05_Östergötland_county,1.970176545,44.1,10557.43,1311.0,1231.5,22.5,102.5,2832.5,2726.0,2832.0,2610.5,2757.0,2613.0,2752.5,2624.0,2674.5,2608.0,2691.5,2522.5,2624.5,2511.0,2638.0,2415.5,2555.5,2340.0,2780.5,2494.5,2645.5,2445.5,3063.5,2538.0,3125.5,2571.0,3079.5,2746.0,3304.5,2969.5,3525.0,3091.5,3659.5,3261.0,3761.5,3246.0,3603.5,3268.0,3744.5,3275.5,3588.0,3329.5,2642.5,2514.5,3349.5,3042.0,3388.0,3029.0,3225.0,2878.0,3070.5,2947.0,3115.5,2763.5,2787.5,2546.0,2890.0,2640.0,2770.0,2528.0,2725.5,2600.5,2867.5,2722.0,2882.0,2670.5,2791.0,2606.0,2738.5,2652.5,2812.5,2645.0,2737.5,2741.5,2804.5,2700.5,3050.0,2958.0,3006.5,2823.5,2968.5,2847.5,3003.0,2844.5,2992.0,2789.5,2871.0,2638.0,2927.0,2740.5,2935.0,2824.0,3142.0,2992.0,3185.5,3129.0,3197.0,3104.5,3128.0,2975.0,2942.0,2686.5,2651.5,2689.5,2617.0,2477.5,2658.5,2552.0,2822.0,2678.0,2604.5,2512.5,2664.5,2561.5,2554.5,2630.5,2591.5,2467.0,2498.0,2489.0,2370.5,2460.5,2496.5,2557.5,2458.0,2468.5,2377.5,2479.0,2533.5,2594.5,2839.5,2663.0,2554.5,2701.5,2511.0,2687.0,2514.0,2631.5,2600.0,2701.5,2449.5,2582.5,2357.5,2498.5,2130.5,2216.0,1973.5,2097.5,1666.0,1899.5,1532.5,1694.5,2822.0,2769.0,1385.0,1671.0,1290.5,1547.0,1236.5,1406.5,1035.5,1322.5,944.5,1271.0,792.0,1086.0,697.5,1059.5,638.5,996.0,542.5,910.5,495.0,786.5,2779.0,2542.5,435.0,726.0,328.5,625.5,265.0,569.5,214.0,478.5,154.0,354.5,98.5,282.0,78.0,199.5,58.0,138.0,40.5,132.5,24.5,78.5,2919.5,2658.5
06_Jönköping_county,2.000138571,34.8,10436.45,1065.5,1005.0,20.5,95.0,2242.5,2220.0,2262.0,2215.5,2286.5,2149.5,2245.5,2141.5,2246.5,2022.0,2233.5,2093.0,2225.5,2048.0,2244.0,2047.5,2115.5,1979.5,2173.5,1947.0,2182.0,2082.0,2402.5,1854.0,2282.0,1957.5,2149.5,1904.0,2312.0,2047.5,2423.5,2074.0,2488.5,2286.5,2564.5,2251.5,2743.0,2384.0,2682.5,2408.0,2610.5,2408.5,2198.0,2057.5,2549.0,2283.5,2528.0,2336.5,2348.5,2214.5,2392.5,2173.5,2313.5,2188.5,2236.0,2020.5,2169.5,2041.0,2186.0,2001.5,2051.0,1939.5,2167.5,2050.0,2263.5,2212.0,2134.5,2080.5,2129.5,1977.0,2135.0,1997.0,2152.0,2074.5,2213.0,2127.0,2280.5,2140.5,2280.0,2188.0,2301.0,2224.5,2323.5,2363.5,2363.5,2246.5,2258.5,2204.0,2301.0,2200.0,2510.0,2321.0,2514.0,2362.5,2519.5,2335.5,2507.0,2420.0,2402.5,2246.5,2377.5,2120.0,2184.0,2083.0,2039.0,2044.5,2094.0,1973.0,2276.5,2231.5,2048.0,2033.0,2097.5,1911.0,2038.0,1997.5,2056.5,1958.0,2022.0,1999.0,2011.0,1907.0,1947.5,1955.0,1934.0,1913.5,1912.5,1896.5,1896.5,1919.5,2312.5,2095.5,1988.5,2042.5,2014.5,2105.5,2019.0,2111.0,1996.5,1989.0,1970.0,1928.5,1847.5,1928.0,1630.5,1804.0,1530.5,1645.5,1309.0,1392.0,1205.5,1366.5,2402.5,2105.5,1158.0,1342.5,1014.5,1320.0,871.5,1175.0,800.5,1108.5,748.0,976.5,682.5,923.5,590.0,873.5,526.0,868.0,461.0,783.0,416.0,708.0,2346.0,2253.5,317.0,643.5,301.0,542.0,208.0,444.5,182.0,372.0,134.0,322.0,94.0,230.0,69.5,188.5,41.5,127.5,41.5,104.0,28.5,78.0,2329.0,2274.0
07_Kronoberg_county,2.4363887419999997,23.9,8423.28,630.0,534.0,6.0,54.0,1290.0,1232.5,1310.5,1174.0,1233.0,1159.0,1330.0,1154.5,1169.5,1183.5,1258.5,1161.0,1192.0,1129.5,1225.5,1090.5,1224.5,1044.5,1156.5,1033.0,1209.0,1110.0,1347.5,1104.5,1259.0,1103.0,1267.5,1111.5,1244.0,1137.0,1420.0,1187.0,1427.5,1223.5,1497.0,1208.0,1506.5,1388.5,1469.5,1345.0,1534.0,1357.0,1239.5,1123.5,1432.0,1246.0,1366.5,1259.0,1340.5,1230.5,1293.5,1208.5,1276.5,1154.0,1259.5,1146.5,1185.5,1112.5,1238.5,1187.5,1204.0,1105.0,1239.5,1211.5,1263.0,1273.0,1251.5,1149.5,1190.0,1139.5,1224.0,1115.5,1248.5,1129.0,1307.0,1186.0,1332.5,1141.5,1202.5,1201.5,1230.0,1150.5,1230.5,1239.0,1229.0,1158.5,1184.5,1198.0,1229.0,1240.5,1317.0,1244.0,1406.5,1281.5,1356.5,1241.0,1348.5,1241.5,1296.5,1243.5,1182.0,1165.0,1189.5,1110.5,1107.0,1041.5,1091.5,1036.5,1261.5,1195.0,1140.5,1062.5,1102.0,1069.5,1059.0,1072.5,1144.0,1140.0,1094.0,1109.5,1091.0,1079.5,1094.5,1095.5,1099.0,1143.0,1156.0,1115.0,1115.0,1094.0,1303.0,1222.5,1158.0,1116.0,1176.0,1146.0,1156.5,1094.5,1136.0,1142.0,1092.5,1089.5,1067.5,1053.5,984.5,975.0,854.0,896.0,745.5,725.0,680.0,696.0,1242.5,1206.5,637.0,709.0,571.5,691.5,563.0,685.0,500.0,598.5,411.0,559.0,412.5,535.0,341.0,490.5,334.0,480.5,274.5,436.5,219.5,423.5,1228.5,1181.0,176.0,341.5,196.0,308.0,110.5,255.5,99.0,217.5,86.5,174.5,73.5,137.0,30.0,95.0,28.0,65.5,26.5,56.5,13.0,50.5,1299.0,1228.0
08_Kalmar_county,2.329832765,22.0,11159.8,625.5,589.5,14.0,71.0,1344.5,1391.5,1407.0,1339.0,1444.0,1308.0,1378.0,1290.5,1367.5,1283.0,1376.0,1292.0,1361.0,1256.5,1392.5,1280.0,1413.0,1202.5,1444.0,1238.0,1331.0,1253.0,1478.0,1124.5,1283.5,1147.5,1256.0,1132.0,1346.0,1208.0,1439.0,1222.5,1476.0,1296.0,1588.0,1490.5,1668.5,1462.5,1680.5,1457.0,1728.0,1487.5,1327.0,1293.0,1588.5,1414.0,1499.5,1424.0,1440.5,1367.5,1455.0,1214.5,1402.5,1310.0,1293.5,1351.0,1344.5,1214.5,1332.5,1276.5,1313.0,1270.0,1282.0,1203.5,1384.5,1292.0,1415.5,1220.5,1259.5,1239.0,1375.0,1268.5,1364.5,1244.5,1399.0,1386.5,1456.0,1378.5,1533.5,1454.5,1498.5,1478.5,1522.0,1493.0,1537.5,1480.0,1397.5,1348.0,1487.0,1488.5,1567.5,1569.0,1724.0,1594.0,1768.5,1641.0,1738.0,1635.5,1725.5,1643.5,1638.5,1573.5,1541.5,1546.0,1482.5,1460.0,1517.0,1473.0,1397.0,1336.5,1511.0,1526.5,1490.5,1495.0,1453.0,1507.0,1554.5,1627.5,1588.0,1588.0,1593.0,1559.5,1601.5,1492.5,1572.5,1523.0,1553.0,1620.0,1614.0,1550.0,1406.5,1311.0,1591.0,1682.0,1656.5,1665.5,1702.0,1681.0,1704.5,1668.5,1612.0,1631.0,1539.0,1540.0,1372.5,1476.0,1315.5,1324.5,1056.5,1174.0,999.5,1097.0,1447.0,1415.5,942.0,1134.0,873.5,998.5,747.5,900.0,704.0,889.0,643.0,789.5,554.0,753.5,466.0,694.0,427.0,608.5,380.0,600.0,299.0,520.0,1397.5,1282.5,243.5,436.5,214.5,421.5,153.0,332.0,128.0,291.0,103.5,215.0,73.5,158.0,62.5,141.5,31.5,88.0,18.5,57.5,16.0,53.5,1486.5,1386.0
09_Gotland_county,2.579452818,19.0,3134.44,135.5,122.5,3.0,16.0,354.0,338.0,342.0,318.5,313.5,264.0,316.5,314.0,337.5,301.0,296.0,265.0,296.5,306.0,335.5,293.5,307.0,276.5,330.0,293.0,270.5,256.0,387.5,319.5,317.5,258.5,362.5,298.5,331.0,265.5,348.5,304.5,358.0,303.5,396.0,315.5,369.0,329.0,358.5,315.0,423.5,395.0,314.0,272.5,348.5,337.5,352.5,338.0,302.5,309.5,312.5,309.5,282.0,309.5,299.0,271.0,312.0,303.5,303.5,297.5,306.5,311.0,320.5,303.5,286.5,309.5,290.5,346.0,291.0,293.0,321.0,317.0,317.5,303.0,350.0,323.5,393.0,372.0,365.5,340.0,349.5,415.0,376.0,371.0,329.5,359.5,310.0,247.0,360.5,357.5,379.5,362.0,408.5,462.5,434.0,427.0,414.0,431.0,426.5,457.5,404.0,416.5,377.5,395.5,351.0,416.5,373.5,408.5,348.5,290.0,381.5,365.0,396.0,423.0,417.5,391.0,430.0,431.5,419.5,436.5,374.5,414.0,410.0,420.5,430.5,398.5,375.5,409.0,436.0,419.0,325.0,289.0,431.5,397.0,410.0,420.0,425.0,394.0,402.0,495.5,433.5,426.5,358.5,375.0,372.0,371.5,319.5,346.5,258.0,284.5,252.0,269.5,333.0,319.0,257.0,260.5,169.5,234.5,191.0,208.5,176.5,213.0,144.0,188.5,126.0,171.0,115.0,175.5,90.5,148.0,84.0,143.5,79.0,109.5,319.5,335.0,37.5,103.0,45.5,95.5,40.5,87.0,28.5,52.5,19.5,44.5,15.5,33.0,10.5,26.5,5.5,17.5,3.5,17.0,2.5,16.5,342.0,344.0
10_Blekinge_county,2.268229754,54.4,2931.25,396.5,376.5,2.5,36.0,983.5,914.0,955.5,905.0,952.0,918.5,997.0,926.5,968.0,920.5,986.0,859.0,980.0,844.0,934.0,879.0,883.5,779.5,1037.0,782.0,826.5,817.0,1053.5,717.0,984.0,760.5,954.0,730.0,995.0,754.0,1056.0,775.5,1053.0,872.0,1072.0,853.5,1082.5,918.5,1134.5,964.0,1097.0,968.5,869.5,782.0,1024.0,864.0,1050.0,870.0,972.5,894.5,942.5,881.0,954.0,836.5,975.5,795.0,900.0,844.5,890.0,820.0,878.0,819.5,954.5,845.0,894.5,858.0,876.0,906.5,912.0,847.0,947.5,880.5,984.0,909.0,954.0,948.0,993.0,941.5,1026.5,996.0,993.0,992.5,991.0,1042.5,1072.0,963.0,872.0,858.5,1033.0,991.5,1148.5,958.0,1151.5,1007.5,1163.5,1088.5,1145.0,1093.0,1094.5,1106.5,1022.5,982.5,1010.0,919.5,936.0,891.5,961.0,865.5,924.0,906.5,973.5,858.0,902.5,919.5,893.0,956.0,944.5,917.5,909.5,931.0,963.5,977.5,866.0,883.0,886.0,1002.0,943.5,961.5,957.5,988.0,920.0,854.0,979.5,1011.0,987.5,1025.0,1007.0,1010.5,1027.5,1059.0,975.5,1032.0,966.5,956.0,879.0,947.0,828.5,822.0,649.0,719.0,644.5,737.0,937.5,892.5,594.5,705.5,561.5,703.5,522.0,613.5,437.5,593.5,412.5,474.0,337.0,458.0,321.0,412.5,313.5,394.5,215.0,350.5,200.5,354.5,915.5,942.5,142.0,273.0,128.0,247.5,123.5,209.5,87.0,178.0,65.0,127.5,30.0,93.5,38.5,87.5,30.0,61.5,16.0,46.0,12.5,33.5,984.0,922.0
